Cultivo,Lluvia_Acum_Anual_Ideal_Code,Lluvia_Max_Tol_Code,Evaporacion_Code,Temp_Max_Prom_Ideal_Code,Temp_Max_Extr_Perj_Code,Temp_Min_Prom_Ideal_Code,Temp_Min_Extr_Perj_Letal_Code,Temp_Media_Mensual_Ideal_Code
Café (Arábica),2,3,2,1,1,1,1,1
Maíz,1,2,1,1,3,2,2,2
Frijol,1,1,1,1,2,1,2,2
Chayote,2,2,2,1,3,2,3,2
Aguacate,2,2,2,1,3,1,1,2
Caña de Azúcar,3,3,3,3,3,3,1,3
Plátano,3,3,3,2,3,3,3,3
